Card1,Card2,Timestamp
2s,5d,2024-04-09 22:24:28.700280
Js,Ks,2024-04-09 22:28:11.861690
Qh,Jd,2024-04-09 22:33:53.034328
As,7c,2024-04-09 22:37:09.141209
2c,4c,2024-04-09 22:40:12.049420
8d,4d,2024-04-09 22:43:07.315770
7d,Kh,2024-04-09 22:50:42.395297
Ks,Ad,2024-04-09 22:55:16.922508
Qd,Kh,2024-04-09 22:59:10.500541
Jd,Jc,2024-04-09 23:04:21.574906
Qd,Td,2024-04-09 23:09:29.935981
9s,Ad,2024-04-09 23:14:53.211486
Ad,Jh,2024-04-09 23:18:54.181496
Ks,Qh,2024-04-09 23:24:20.174513
4c,9c,2024-04-09 23:33:31.422851
Kd,Ks,2024-04-09 23:37:58.391855
5s,Jc,2024-04-09 23:41:17.113357
Ah,3d,2024-04-09 23:57:00.821309
7d,8h,2024-04-09 23:59:51.898092
8h,Ad,2024-04-10 00:03:48.998766
5h,6c,2024-04-10 00:10:04.579387
9d,Ac,2024-04-10 00:12:40.873579
4d,Td,2024-04-10 00:18:19.877063
Td,9h,2024-04-10 00:22:53.376306
4s,5h,2024-04-10 00:28:17.531001
6d,6h,2024-04-10 00:31:01.053285
Ac,3s,2024-04-10 00:33:45.601281
Tc,As,2024-04-10 00:36:41.700615
Qc,7d,2024-04-10 00:41:51.052825
Ts,8c,2024-04-10 00:45:06.867653
8s,Ks,2024-04-10 00:49:00.064844
Js,5d,2024-04-10 00:53:39.002831
7h,2h,2024-04-10 00:57:15.599943
Jh,Jd,2024-04-10 01:00:12.938005
2h,As,2024-04-10 01:03:57.410016
2d,Tc,2024-04-10 01:08:37.641400
Kd,Ad,2024-04-10 01:11:41.922966
8h,Ts,2024-04-10 01:19:59.377132
7d,Jc,2024-04-10 01:24:03.978835
5h,2h,2024-04-10 01:26:03.782519
9c,9s,2024-04-10 01:29:23.059820
Ah,7s,2024-04-10 01:33:54.399872
Kd,Ah,2024-04-10 01:37:57.357867
9d,Jd,2024-04-10 01:41:55.657025
Kd,Tc,2024-04-10 01:46:47.986072
